,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,90102,90103,90104,90105,90106,90107,90108,90109,90110,90111,90112,90113,90115,90116,90117,90118,90119,90120,90121,90122,90123,90124,90125,90126,90127,90128,90131,90132,90133,90134,90135,90136,90137,90139,90140,90141,90144
1,14034,14031,14031,14032,14033,14030,14032,14030,14029,14030,14029,14030,14031,14028,14029,14032,14034,14034,14033,14033,14034,14036,14036,14038,14037,14037,14036,14036,14037,14035,14035,14035,14034,14032,14033,14031,14032
2,402,410,431,435,432,432,427,423,420,418,425,426,420,421,423,434,435,435,430,426,426,421,429,423,417,419,401,395,393,387,383,379,376,365,370,365,347
